participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,,0,-0.00125,-0.26,1,0,0,4.049,square_button,1,2.749,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,2.478,,0,1,1,1,1,1.3,images/target_plus.jpg,3.778,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.795,,0,2,2,7,1,1.1,images/target_plus.jpg,1.895,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,0.904,,0,3,3,2,1,1.5,images/target_square.jpg,2.404,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,0.703,,0,4,4,6,1,1.5,images/target_cross.jpg,2.203,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,0.71,,0,5,5,3,1,1.3,images/target_cross.jpg,2.01,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.675,,0,6,6,4,1,1.5,images/target_plus.jpg,2.175,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,1.487,,0,7,7,5,1,1.1,images/target_square.jpg,2.587,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,0.561,,0,8,8,0,1,1.1,images/target_cross.jpg,1.661,,,,,,,,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,,,,,,,,,,,,,,,,,,,,,,,0.01625,-0.25,1,0,0,,,,,
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,0,,,,,,,,,1.612,,,,,,,1.3,images/target_plus.jpg,2.912,,,,,,,,0,0,0,1,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,0,,,,,,,,,0.965,,,,,,,1.1,images/target_cross.jpg,2.065,,,,,,,,0,1,1,0,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,1.242,,,,,,,1.3,images/target_cross.jpg,2.542,,,,,,,,0,2,2,3,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,0.752,,,,,,,1.5,images/target_square.jpg,2.252,,,,,,,,0,3,3,2,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,0,,,,,,,,,0.912,,,,,,,1.3,images/target_square.jpg,2.212,,,,,,,,0,4,4,8,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,1.81,,,,,,,1.5,images/target_cross.jpg,3.31,,,,,,,,0,5,5,6,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.813,,,,,,,1.5,images/target_plus.jpg,2.313,,,,,,,,0,6,6,4,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.739,,,,,,,1.1,images/target_plus.jpg,1.839,,,,,,,,0,7,7,7,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,0.759,,,,,,,1.1,images/target_square.jpg,1.859,,,,,,,,0,8,8,5,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,0.948,,,,,,,1.5,images/target_square.jpg,2.448,,,,,,,,1,0,9,2,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,0.857,,,,,,,1.1,images/target_square.jpg,1.957,,,,,,,,1,1,10,5,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,1.03,,,,,,,1.5,images/target_cross.jpg,2.53,,,,,,,,1,2,11,6,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.766,,,,,,,1.3,images/target_plus.jpg,2.066,,,,,,,,1,3,12,1,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.86,,,,,,,1.5,images/target_plus.jpg,2.36,,,,,,,,1,4,13,4,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,0.7,,,,,,,1.1,images/target_cross.jpg,1.8,,,,,,,,1,5,14,0,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,c,1,,,,,,,,,0.764,,,,,,,1.3,images/target_cross.jpg,2.064,,,,,,,,1,6,15,3,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,v,1,,,,,,,,,0.702,,,,,,,1.3,images/target_square.jpg,2.002,,,,,,,,1,7,16,8,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,b,1,,,,,,,,,0.813,,,,,,,1.1,images/target_plus.jpg,1.913,,,,,,,,1,8,17,7,1
PB,001,2024-02-12_09h45.04.408,choiceRTT,2023.1.3,MacIntel,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
