keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,0.3186,,,,,,,,-0.9814,v,1.3421,0,0,0,1,1,1.3,images/target_plus.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
c,0,0.2037,,,,,,,,-1.2963,v,0.4704,0,1,1,2,1,1.5,images/target_square.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
b,0,1.7285,,,,,,,,0.6285,space,0.5109,0,2,2,5,1,1.1,images/target_square.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
v,0,2.4979,,,,,,,,1.3979,c,2.0932,0,3,3,0,1,1.1,images/target_cross.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
v,0,0.5683,,,,,,,,-0.7317,c,0.082,0,4,4,3,1,1.3,images/target_cross.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
b,1,0.5641,,,,,,,,-0.5359,c,0.2256,0,5,5,7,1,1.1,images/target_plus.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
c,0,0.6486,,,,,,,,-0.6514,v,0.0016,0,6,6,8,1,1.3,images/target_square.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
c,1,0.2714,,,,,,,,-1.2286,c,0.2491,0,7,7,6,1,1.5,images/target_cross.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
v,0,0.01,,,,,,,,-1.49,b,0.2458,0,8,8,4,1,1.5,images/target_plus.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,,,,,
v,0,0.0118,,,,,,,,-1.0882,,,,,,,,1.1,images/target_cross.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,space,0.1983,0.016927083,-0.200520833,0,0,0,0,0,0,0,1
c,1,0.2909,,,,,,,,-1.2091,,,,,,,,1.5,images/target_cross.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,0,1,1,6,1
v,1,0.0812,,,,,,,,-1.2188,,,,,,,,1.3,images/target_square.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,0,2,2,8,1
c,1,0.236,,,,,,,,-1.064,,,,,,,,1.3,images/target_cross.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,0,3,3,3,1
v,0,0.4493,,,,,,,,-0.8507,,,,,,,,1.3,images/target_plus.jpg,qw,001,2022-11-12_16h51.10.335,choiceRTT,2021.2.3,Win32,60.30999337,,,,,,,,0,4,4,1,1
